points,price,province,region_1,region_2,variety,winery
90,13.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Milbrandt
88,32.0,California,Sonoma Coast,Sonoma,Pinot Noir,W.H. Smith
88,28.0,California,Alexander Valley,Sonoma,Rhône-style Red Blend,Wattle Creek
88,39.0,California,Sonoma Coast,Sonoma,Pinot Noir,WesMar
88,19.0,Washington,Yakima Valley,Columbia Valley,Dolcetto,Wind Rose
88,40.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cosentino
88,12.0,Washington,Washington,Washington Other,White Blend,Eufloria
88,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,Franciscan
88,16.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Glenora
88,50.0,Washington,Red Mountain,Columbia Valley,Red Blend,Alexander the Grape
88,26.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Auclair
88,44.0,Washington,Horse Heaven Hills,Columbia Valley,Syrah,Bunnell
88,38.0,Washington,Wahluke Slope,Columbia Valley,Malbec,Bunnell
88,38.0,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Cave B
88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Tempranillo,Pomum
88,26.0,California,Carneros-Napa Valley,Napa,Pinot Noir,Robert Mondavi
90,14.0,California,Paso Robles,Central Coast,Sauvignon Blanc,Vina Robles
90,50.0,California,Russian River Valley,Sonoma,Chardonnay,Williams Selyem
90,50.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Clos La Chance
90,28.0,California,Edna Valley,Central Coast,Pinot Noir,Kynsi
90,25.0,California,Carneros,Napa-Sonoma,Chardonnay,Sequoia Grove
90,26.0,California,Arroyo Grande Valley,Central Coast,Chardonnay,Talley
89,48.0,California,Russian River Valley,Sonoma,Zinfandel,Williams Selyem
89,40.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Windbreak
94,60.0,California,Carneros,Napa-Sonoma,Chardonnay,Patz & Hall
94,45.0,California,Russian River Valley,Sonoma,Rhône-style Red Blend,Carlisle
94,62.0,California,Fort Ross-Seaview,Sonoma,Pinot Noir,Dutton-Goldfield
94,70.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,K Vintners
94,50.0,California,Sonoma Coast,Sonoma,Chardonnay,Trombetta
94,95.0,California,Sonoma Coast,Sonoma,Pinot Noir,Williams Selyem
94,59.0,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
86,15.0,New York,Seneca Lake,Finger Lakes,Chardonnay,Bellangelo
86,16.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Billsboro
86,20.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Maddalena
86,26.0,California,Alexander Valley,Sonoma,Chardonnay,Murphy-Goode
86,28.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Northwest Cellars
85,20.0,Washington,Wahluke Slope,Columbia Valley,Riesling,Henry Earl
85,17.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Keuka Spring
88,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Alysian
88,40.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lange
88,36.0,California,Livermore Valley,Central Coast,Cabernet Sauvignon,McGrail
87,14.0,California,Sonoma County,Sonoma,Merlot,Kenwood
87,24.0,California,Russian River Valley,Sonoma,Syrah,Novy
87,19.0,California,Russian River Valley,Sonoma,Chardonnay,Novy
87,22.0,California,Carneros,Napa-Sonoma,Sauvignon Blanc,Peter Franus
87,48.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
88,36.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Joseph Family
88,55.0,California,St. Helena,Napa,Cabernet Sauvignon,Salvestrin
88,38.0,California,Napa Valley,Napa,Cabernet Sauvignon,Somerston
88,75.0,California,Rutherford,Napa,Chardonnay,Staglin
87,38.0,California,Russian River Valley,Sonoma,Pinot Noir,Desmond
87,22.0,New York,Finger Lakes,Finger Lakes,Riesling,White Springs
87,18.0,California,Carneros,Napa-Sonoma,Pinot Noir,Valley of the Moon
87,20.0,New York,New York,New York Other,Cabernet Franc,Whitecliff Vineyard
87,30.0,California,Yorkville Highlands,North Coast,Carmenère,Yorkville Cellars
87,14.0,New York,New York,New York Other,Riesling,Heron Hill
87,33.0,California,Sonoma Coast,Sonoma,Chardonnay,Keller Estate
87,20.0,Washington,Columbia Valley (WA),Columbia Valley,Rhône-style White Blend,Market Vineyards
91,19.0,California,Carneros,Napa-Sonoma,Chardonnay,Kopriva
